Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Tickets_Sold,Rating
Air India,01-05-2022,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,9386,102,3
Air India,01-05-2023,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,10325,115,5
Air India,01-05-2024,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,05:50,13:15,7h 25m,2 stops,No info,9912,111,4
Air India,01-06-2022,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,11220,159,4
Air India,01-06-2023,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,12567,172,3
Air India,01-06-2024,Delhi,Cochin,DEL ? BLR ? COK,09:45,23:00,13h 15m,1 stop,No info,12315,177,3
Air India,24-06-2022,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,5717,133,2
Air India,24-06-2023,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,6289,146,5
Air India,24-06-2024,Chennai,Kolkata,MAA ? CCU,11:40,13:55,2h 15m,non-stop,No info,6100,146,4
Air India,03-03-2022,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,17650,113,4
Air India,03-03-2022,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,17650,113,2
Air India,03-03-2023,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,19768,115,2
Air India,03-03-2023,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,19768,115,5
Air India,03-03-2024,Delhi,Cochin,DEL ? AMD ? BOM ? COK,16:40,04-03-2025 19:15,26h 35m,2 stops,No info,19372,129,5
